Year,Type,Question,Qption_A,Qption_B,Qption_C,Qption_D,Category,Marks,Answer
qp_2015_1,,"Match the following:
(P) Condition coverage              (i) Black-box testing
(Q) Equivalence class partitioning (ii) System testing
(R) Volume testing                (iii) White-box testing
(S) Alpha testing                  (iv) Performance testing","P-ii, Q-iii, R-i, S-iv","P-iii, Q-iv, R-ii, S-i","P-iii, Q-i, R-iv, S-ii","P-iii, Q-i, R-ii, S-iv",,,
qp_2015_1,,"Which of the following is/are correct inorder traversal sequence(s) of binary search tree(s)?

    I. 3, 5, 6, 7, 8, 15, 19, 25
   II. 5, 8, 9, 12, 10, 15, 25
  III. 2, 7, 10, 8, 14, 16, 20
   IV. 4, 6, 7, 9, 18, 20, 25",I and IV only,II and III only,II and IV only,II only,,,
qp_2015_1,,Which one of the following is TRUE at any valid state in shift-reduce parsing?,Viable prefixes appear only at the bottom of the stack and not inside,Viable prefixes appear only at the top of the stack and not inside,The stack contains only a set of viable prefixes,The stack never contains viable prefixes,,,
qp_2015_1,,Which one of the following is NOT equivalent to p &harr; q?,(&sim;p &or; q) &and; (p &or; &sim;q),(&sim;p &or; q) &and; (p &rarr; q),(&sim;p &and; q) &or; (p &and; &sim;q),(&sim;p &and; &sim;q) &or; (p &and; q),,,
qp_2015_1,,"For a set A, the power set of A is denoted by 2<sup>A</sup>. If A = {5, {6}, {7}}, which of the following options
are TRUE?

I. &empty; &isin; 2<sup>A</sup> II. &empty; &sube; 2<sup>A</sup>  III. {5, {6}} &isin; 2<sup>A</sup> IV. {5, {6}} &sube; 2<sup>A</sup>",I and III only,II and III only,"I, II and III only","I, II and IV only",,,
qp_2015_1,,"Consider a 4-bit Johnson counter with an initial value of 0000. The counting sequence of this
counter is","0, 1, 3, 7, 15, 14, 12, 8, 0","0, 1, 3, 5, 7, 9, 11, 13, 15, 0","0, 2, 4, 6, 8, 10, 12, 14, 0","0, 8, 12, 14, 15, 7, 3, 1, 0",,,
qp_2015_1,,"For computers based on three-address instruction formats, each address field can be used to specify
which of the following:

(S1) A memory operand
(S2) A processor register
(S3) An implied accumulator register",Either S1 or S2,Either S2 or S3,Only S2 and S3,"All of S1, S2 and S3",,,
qp_2015_1,,"Suppose two hosts use a TCP connection to transfer a large file. Which of the following statements
is/are FALSE with respect to the TCP connection?

    I. If the sequence number of a segment is m, then the sequence number of the subsequent
       segment is always m+1.
   II. If the estimated round trip time at any given point of time is t sec, the value of the
       retransmission timeout is always set to greater than or equal to t sec.
  III. The size of the advertised window never changes during the course of the TCP connection.
   IV. The number of unacknowledged bytes at the sender is always less than or equal to the
       advertised window.",III only,I and III only,I and IV only,II and IV only,,,
qp_2015_1,,"Suppose that everyone in a group of N people wants to communicate secretly with the N-1 others
using symmetric key cryptographic system. The communication between any two persons should
not be decodable by the others in the group. The number of keys required in the system as a whole
to satisfy the confidentiality requirement is",2N,N(N-1),N(N-1)/2,(N-1)<sup>2</sup>,,,
qp_2015_1,,"Which of the following statements is/are FALSE?

    I. XML overcomes the limitations in HTML to support a structured way of organizing
       content.
   II. XML specification is not case sensitive while HTML specification is case sensitive.
  III. XML supports user defined tags while HTML uses pre-defined tags.
   IV. XML tags need not be closed while HTML tags must be closed.",II only,I only,II and IV only,III and IV only,,,
qp_2015_1,,Which one of the following fields of an IP header is NOT modified by a typical IP router?,Checksum,Source address,Time to Live (TTL),Length,ComputerNetworks,,
qp_2015_1,,"In one of the pairs of protocols given below, both the protocols can use multiple TCP connections
between the same client and the server. Which one is that?","HTTP, FTP","HTTP, TELNET","FTP, SMTP","HTTP, SMTP",ComputerNetworks,,
qp_2015_1,,"For any two languages L1 and L1 such that L1 is context-free and L2 is recursively enumerable but
not recursive, which of the following is/are necessarily true?

    I. <span class=""above_bar"">L1</span> (complement of L1) is recursive
   II. <span class=""above_bar"">L2</span> (complement of L2) is recursive
  III. <span class=""above_bar"">L1</span> is context-free
   IV. <span class=""above_bar"">L1</span> &cup; L2 is recursively enumerable",I only,III only,III and IV only,I and IV only,,,
qp_2015_1,,"Consider a system with byte-addressable memory, 32-bit logical addresses, 4 kilobyte page size and
page table entries of 4 bytes each. The size of the page table in the system in megabytes is ____",,,,,,,
qp_2015_1,,"The following two functions P1 and P2 that share a variable B with an initial value of 2 execute
concurrently.

P1() {          P2() {
    C = B - 1;      D = 2 * B;
    B = 2 * C;      B = D - 1;
}               }

The number of distinct values that B can possibly take after the execution is ____",,,,,,,
qp_2015_1,,SELECT operation in SQL is equivalent to,the selection operation in relational algebra,"the selection operation in relational algebra, except that SELECT in SQL retains duplicates",the projection operation in relational algebra,"the projection operation in relational algebra, except that SELECT in SQL retains duplicates",,,
qp_2015_1,,"A file is organized so that the ordering of data records is the same as or close to the ordering of data
entries in some index. Then that index is called",Dense,Sparse,Clustered,Unclustered,,,
qp_2015_1,,"In the LU decomposition of the matrix 

[2 2] 
[4 9]

,if the diagonal elements of U are both 1, then the
lower diagonal entry I<sub>22</sub> of L is ____",,,,,,,
qp_2015_1,,"The output of the following C program is ____

<code>
void f1(int a, int b) {
    int c;
    c = a; a = b; b = c;
}
void f2(int *a, int *b) {
    int c;
    c = *a; *a = *b; *b = c;
}
int main() {
    int a=4, b=5, c=6;
    f1(a, b);
    f2(&b, &c);
    printf(""%d"",c - a - b);
}
</code>",,,,,,,
qp_2015_1,,What are the worst-case complexities of insertion and deletion of a key in a binary search tree?,&Theta;(log n) for both insertion and deletion,&Theta;(n) for both insertion and deletion,&Theta;(n) for insertion and &Theta;(log n) for deletion,&Theta;(log n) for insertion and &Theta;(n) for deletion,,,
qp_2015_1,,"Suppose that the stop-and-wait protocol is used on a link with a bit rate of 64 kilobits per second
and 20 milliseconds propagation delay. Assume that the transmission time for the
acknowledgement and the processing time at nodes are negligible. Then the minimum frame size in
bytes to achieve a link utilization of at least 50% is ____",,,,,,,
qp_2015_1,,"Consider a max heap, represented by the array: 40, 30, 20, 10, 15, 16, 17, 8, 4.

ArrayIndex | 1  | 2  | 3  | 4  | 5  | 6  | 7  | 8 | 9 |
Value      | 40 | 30 | 20 | 10 | 15 | 16 | 17 | 8 | 4 |

Now consider that a value 35 is inserted into this heap. After insertion, the new heap is","40, 30, 20, 10, 15, 16, 17, 8, 4, 35","40, 35, 20, 10, 30, 16, 17, 8, 4, 15","40, 30, 20, 10, 35, 16, 17, 8, 4, 15","40, 35, 20, 10, 15, 16, 17, 8, 4, 30",,,
qp_2015_1,,"Consider the following C program segment.

<code>
while(first <= last)
{
    if (array[middle] < search)
        first = middle + 1;
    else if (array[middle] == search)
        found = TRUE;
    else last = middle - 1;
    middle = (first + last)/2;
}
if (first > last) notPresent = TRUE;
</code>

The cyclomatic complexity of the program segment is ____",,,,,,,
qp_2015_1,,"Consider a LAN with four nodes S1, S2, S3 and S4. Time is divided into fixed-size slots, and a node
can begin its transmission only at the beginning of a slot. A collision is said to have occurred if
more than one node transmut in the same slot. The probabilities of generation of a frame in a time
slot by S1, S2, S3 and S4 are 0.1, 0.2, 0.3 and 0.4, respectively. The probability of sending a frame in
the first slot without any collision by any of these four stations is ____",,,,,,,
qp_2015_1,,"The binary operator &ne; is defined by the following truth table.

  p q p &ne; q
  0 0 0
  0 1 1
  1 0 1
  1 1 0

Which one of the following is true about the binary operator &ne;?",Both commutative and associative,Commutative but not associative,Not commutative but associative,Neither commutative nor associative,,,
qp_2015_1,,&sum;<sup>99</sup><sub>x=1</sub> 1/x(x+1) =  ____,,,,,,,
qp_2015_1,,"Suppose L = {p, q, r, s, t} is a lattice represented by the following Hasse diagram:

<img src=""img/2015_1_42.png"" width=""100px"" height=""100px"" />

For any x, y &isin; L, not necessarily distinct, x &or; y and x &and; y are join and meet of x, y, respectively.
Let L<sup>3</sup> = {(x,y,z): x,y,z &isin; L} be the set of all ordered triplets of the elements of L. Let p<sub>r</sub> be the
probability that an element (x,y,z) &isin; L<sup>3</sup> chosen equiprobably satisfies x &or; (y &and; z) = (x &or; y) &and;
(x &or; z). Then",p<sub>r</sub> = 0,p<sub>r</sub> = 1,0 < p<sub>r</sub> &le; 1/5,1/5 < p<sub>r</sub> < 1,,,
qp_2015_1,,"Consider the operations

f(X,Y,Z) = X'YZ + XY' +Y'Z' and g(X,Y,Z) = X'YZ + X'YZ' + XY

Which one of the following is correct?",Both {f} and {g} are functionally complete,Only {f} is functionally complete,Only {g} is functionally complete,Neither {f} nor {g} is functionally complete,,,
qp_2015_1,,"Let G be a connected planar graph with 10 vertices. If the number of edges on each face is three,
then the number of edges in G is ____",,,,,,,
qp_2015_1,,"Let a<sub>n</sub> represent the number of bit strings of length n containing two consecutive 1s. What is the
recurrence relation for a<sub>n</sub>?",a<sub>n-2</sub> + a<sub>n-1</sub> + 2<sup>n-2</sup>,a<sub>n-2</sub> + 2a<sub>n-1</sub> + 2<sup>n-2</sup>,2a<sub>n-2</sub> + a<sub>n-1</sub> + 2<sup>n-2</sup>,2a<sub>n-2</sub> + 2a<sub>n-1</sub> + 2<sup>n-2</sup>,,,
qp_2015_1,,"A variable x is said to be live at a statement S<sub>i</sub> in a program if the following three conditions hold
simultaneously:

    i. There exists a statement S<sub>j</sub> that uses x
   ii. There is a path from S<sub>i</sub> to S<sub>j</sub> in the flow graph corresponding to the program
  iii. The path has no intervening assignment to x including at S<sub>i</sub> and S<sub>j</sub>

     <img src=""img/2015_1_46.png"" width=""100px"" height=""100px"" />

The variables which are live both at the statement in basic block 2 and at the statement in basic
block 3 of the above control flow graph are","p, s, u","r, s, u","r, u","q, v",,,
qp_2015_1,,"The least number of temporary variables required to create a three-address code in static single
assignment form for the expression q + r / 3 + s - t * 5 + u * v / w is  ____",,,,,,,
qp_2015_1,,"Consider an Entity-Relationship (ER) model in which entity sets E<sub>1</sub> and E<sub>2</sub> are connected by an
m:n relationship R<sub>12</sub>. E<sub>1</sub> and E<sub>3</sub> are connected by a 1 : n (1 on the side of E<sub>1</sub> and n on the side of
E<sub>3</sub>) relationship R<sub>13</sub>.

E<sub>1</sub> has two single-valued attributes a<sub>11</sub> and a<sub>12</sub> of which a<sub>11</sub> is the key attribute. E<sub>2</sub> has two single-
valued attributes a<sub>21</sub> and a<sub>22</sub> of which a<sub>21</sub> is the key attribute. E<sub>3</sub> has two single-valued attributes a<sub>31</sub> 
and a<sub>32</sub> of which a<sub>31</sub> is the key attribute. The relationships do not have any attributes.

If a relational model is derived from the above ER model, then the minimum number of relations
that would be generated if all the relations are in 3NF is ____",,,,,,,
qp_2015_1,,"<img src=""img/2015_1_49.png"" width=""100px"" height=""100px"" />

Consider the DFAs M and N given above. The number of states in a nummmal DFA that accepts the
language L(M) &cap; L(N) is ____",,,,,,,
qp_2015_1,,"Consider the NPDA (Q = {q<sub>0</sub>, q<sub>1</sub>, q<sub>2</sub>}, &sum; = {0,1}, &Gamma; = {0, 1, &perp;}, &delta;, q<sub>0</sub>, &perp;, F = {q<sub>2</sub>}), where (as
per usual convention) Q is the set of states, &sum; is the input alphabet, &Gamma; is the stack alphabet, &delta; is the
state transition function, q<sub>0</sub> is the initial state, &perp; is the initial stack symbol, and F is the set of
accepting states. The state transition is as follows:

<img src=""img/2015_1_50.png"" width=""100px"" height=""100px"" />

Which one of the following sequences must follow the string 101100 so that the overall string is
accepted by the automaton?",10110,10010,01010,01001,,,
qp_2015_1,,"Let G = (V, E) be a simple undirected graph, and s be a particular vertex in it called the source.
For x &isin; V, let d(x) denote the shortest distance in G from s to x. A breadth first search (BFS) is
performed starting at s . Let T be the resultant BFS tree. If (u, v) is an edge of G that is not in T ,
then which one of the following CANNOT be the value of d(u) - d(v)?",-1,0,1,2,,,
qp_2015_1,,"Consider a uniprocessor system executing three tasks T1, T2, and T3, each of which is composed of
an infinite sequence of jobs (or instances) which arrive periodically at intervals of 3, 7 and 20
milliseconds, respectively. The priority of each task is the inverse of its period, and the available
tasks are scheduled in order of priority, with the highest priority task scheduled first. Each instance
of T1, T2 and T3 requires an execution time of 1, 2 and 4 milliseconds, respectively. Given that all
tasks initially arrive at the beginning of the 1st millisecond and task preemptions are allowed, the
first instance of T3 completes its execution at the end of ____ milliseconds.",,,,,,,
